,route_id,direction_id,stop_id_x,stop_sequence_x,shape_dist_traveled_x,trip_headsign,route_type,stop_id_y,stop_sequence_y,shape_dist_traveled_y,distance,route_num
0,64815,0,2671,1,0.0262,EAST - 10 VAN HORNE towards VICTORIA PARK,3,2670,2,0.4756,0.45,10
10,64815,0,14155,1,0.1303,EAST - 10 VAN HORNE towards VICTORIA PARK,3,3807,2,0.3546,0.22,10
1,64815,0,2670,2,0.4756,EAST - 10 VAN HORNE towards VICTORIA PARK,3,6222,3,0.7065,0.23,10
11,64815,0,3807,2,0.3546,EAST - 10 VAN HORNE towards VICTORIA PARK,3,6904,3,0.5903,0.24,10
2,64815,0,6222,3,0.7065,EAST - 10 VAN HORNE towards VICTORIA PARK,3,6986,4,0.9254,0.22,10
12,64815,0,6904,3,0.5903,EAST - 10 VAN HORNE towards VICTORIA PARK,3,1163,4,0.9613,0.37,10
3,64815,0,6986,4,0.9254,EAST - 10 VAN HORNE towards VICTORIA PARK,3,2160,5,1.185,0.26,10
13,64815,0,1163,4,0.9613,EAST - 10 VAN HORNE towards VICTORIA PARK,3,7723,5,1.2849,0.32,10
4,64815,0,2160,5,1.185,EAST - 10 VAN HORNE towards VICTORIA PARK,3,4095,6,1.3273,0.14,10
14,64815,0,7723,5,1.2849,EAST - 10 VAN HORNE towards VICTORIA PARK,3,2498,6,1.6424,0.36,10
15,64815,0,2498,6,1.6424,EAST - 10 VAN HORNE towards VICTORIA PARK,3,805,7,1.8512,0.21,10
16,64815,0,805,7,1.8512,EAST - 10 VAN HORNE towards VICTORIA PARK,3,1047,8,2.0416,0.19,10
17,64815,0,1047,8,2.0416,EAST - 10 VAN HORNE towards VICTORIA PARK,3,8848,9,2.2421,0.2,10
18,64815,0,8848,9,2.2421,EAST - 10 VAN HORNE towards VICTORIA PARK,3,4206,10,2.7426,0.5,10
19,64815,0,4206,10,2.7426,EAST - 10 VAN HORNE towards VICTORIA PARK,3,3981,11,2.8723,0.13,10
20,64815,0,3981,11,2.8723,EAST - 10 VAN HORNE towards VICTORIA PARK,3,9392,12,3.1677,0.3,10
21,64815,0,9392,12,3.1677,EAST - 10 VAN HORNE towards VICTORIA PARK,3,7147,13,3.3907,0.22,10
22,64815,0,7147,13,3.3907,EAST - 10 VAN HORNE towards VICTORIA PARK,3,2671,14,3.5279,0.14,10
5,64815,0,2671,14,3.5279,EAST - 10 VAN HORNE towards VICTORIA PARK,3,2670,15,3.9773,0.45,10
6,64815,0,2670,15,3.9773,EAST - 10 VAN HORNE towards VICTORIA PARK,3,6222,16,4.2082,0.23,10
7,64815,0,6222,16,4.2082,EAST - 10 VAN HORNE towards VICTORIA PARK,3,6986,17,4.4271,0.22,10
8,64815,0,6986,17,4.4271,EAST - 10 VAN HORNE towards VICTORIA PARK,3,2160,18,4.6867,0.26,10
9,64815,0,2160,18,4.6867,EAST - 10 VAN HORNE towards VICTORIA PARK,3,4095,19,4.829,0.14,10
286,64815,1,4095,1,0.0,WEST - 10 VAN HORNE towards DON MILLS STATION,3,1836,2,0.2682,0.27,10
287,64815,1,1836,2,0.2682,WEST - 10 VAN HORNE towards DON MILLS STATION,3,4434,3,0.4732,0.21,10
288,64815,1,4434,3,0.4732,WEST - 10 VAN HORNE towards DON MILLS STATION,3,10214,4,0.9101,0.44,10
289,64815,1,10214,4,0.9101,WEST - 10 VAN HORNE towards DON MILLS STATION,3,4639,5,1.1599,0.25,10
290,64815,1,4639,5,1.1599,WEST - 10 VAN HORNE towards DON MILLS STATION,3,8588,6,1.2989,0.14,10
291,64815,1,8588,6,1.2989,WEST - 10 VAN HORNE towards DON MILLS STATION,3,6612,7,1.5471,0.25,10
292,64815,1,6612,7,1.5471,WEST - 10 VAN HORNE towards DON MILLS STATION,3,1329,8,1.9783,0.43,10
293,64815,1,1329,8,1.9783,WEST - 10 VAN HORNE towards DON MILLS STATION,3,6878,9,2.177,0.2,10
294,64815,1,6878,9,2.177,WEST - 10 VAN HORNE towards DON MILLS STATION,3,3480,10,2.6378,0.46,10
295,64815,1,3480,10,2.6378,WEST - 10 VAN HORNE towards DON MILLS STATION,3,14155,11,3.4286,0.79,10
971,64816,0,7497,1,0.1897,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,4391,2,0.3336,0.14,100A
972,64816,0,4391,2,0.3336,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,9733,3,0.4297,0.1,100A
973,64816,0,9733,3,0.4297,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,3274,4,0.6388,0.21,100A
974,64816,0,3274,4,0.6388,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,3461,5,0.901,0.26,100A
975,64816,0,3461,5,0.901,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,7740,6,1.0875,0.19,100A
976,64816,0,7740,6,1.0875,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,6260,7,1.3012,0.21,100A
977,64816,0,6260,7,1.3012,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,10011,8,1.5205,0.22,100A
978,64816,0,10011,8,1.5205,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,7662,9,1.6995,0.18,100A
979,64816,0,7662,9,1.6995,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,5540,10,1.8249,0.13,100A
980,64816,0,5540,10,1.8249,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,2734,11,2.0308,0.21,100A
981,64816,0,2734,11,2.0308,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,8022,12,2.2498,0.22,100A
982,64816,0,8022,12,2.2498,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,6857,13,2.3759,0.13,100A
983,64816,0,6857,13,2.3759,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,824,14,3.0176,0.64,100A
984,64816,0,824,14,3.0176,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,9988,15,3.2781,0.26,100A
985,64816,0,9988,15,3.2781,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,6567,16,3.4376,0.16,100A
986,64816,0,6567,16,3.4376,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,2655,17,3.6291,0.19,100A
987,64816,0,2655,17,3.6291,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,4809,18,3.8467,0.22,100A
988,64816,0,4809,18,3.8467,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,5965,19,4.1544,0.31,100A
989,64816,0,5965,19,4.1544,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,1929,20,4.5104,0.36,100A
990,64816,0,1929,20,4.5104,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,6083,21,4.6778,0.17,100A
991,64816,0,6083,21,4.6778,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,6818,22,4.8796,0.2,100A
992,64816,0,6818,22,4.8796,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,3115,23,4.9869,0.11,100A
993,64816,0,3115,23,4.9869,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,7561,24,5.5395,0.55,100A
994,64816,0,7561,24,5.5395,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,8512,25,5.7483,0.21,100A
995,64816,0,8512,25,5.7483,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,8816,26,5.9222,0.17,100A
996,64816,0,8816,26,5.9222,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,1009,27,6.2754,0.35,100A
997,64816,0,1009,27,6.2754,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,4727,28,6.5048,0.23,100A
998,64816,0,4727,28,6.5048,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,3938,29,6.7596,0.25,100A
999,64816,0,3938,29,6.7596,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,4574,30,7.4429,0.68,100A
1000,64816,0,4574,30,7.4429,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,7671,31,7.6683,0.23,100A
1001,64816,0,7671,31,7.6683,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,9979,32,7.8061,0.14,100A
1002,64816,0,9979,32,7.8061,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,4058,33,8.0542,0.25,100A
1003,64816,0,4058,33,8.0542,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,3105,34,8.3297,0.28,100A
1004,64816,0,3105,34,8.3297,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,6112,35,8.5205,0.19,100A
1005,64816,0,6112,35,8.5205,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,5583,36,8.7453,0.22,100A
1006,64816,0,5583,36,8.7453,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,10380,37,8.9434,0.2,100A
1007,64816,0,10380,37,8.9434,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,7151,38,9.2772,0.33,100A
1008,64816,0,7151,38,9.2772,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,5650,39,9.523,0.25,100A
1009,64816,0,5650,39,9.523,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,6540,40,9.71,0.19,100A
1010,64816,0,6540,40,9.71,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,5251,41,9.8496,0.14,100A
1011,64816,0,5251,41,9.8496,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,3,14158,42,10.0633,0.21,100A
1016,64816,1,14158,1,0.0448,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,6070,2,0.3967,0.35,100A
1017,64816,1,6070,2,0.3967,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,9364,3,0.586,0.19,100A
1018,64816,1,9364,3,0.586,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,2329,4,0.9796,0.39,100A
1019,64816,1,2329,4,0.9796,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,5662,5,1.2819,0.3,100A
1020,64816,1,5662,5,1.2819,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,5486,6,1.4911,0.21,100A
1021,64816,1,5486,6,1.4911,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,24186,7,1.6911,0.2,100A
1022,64816,1,24186,7,1.6911,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,7240,8,1.8259,0.13,100A
1023,64816,1,7240,8,1.8259,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,8446,9,2.1676,0.34,100A
1024,64816,1,8446,9,2.1676,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,613,10,2.3875,0.22,100A
1025,64816,1,613,10,2.3875,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,6177,11,2.5328,0.15,100A
1026,64816,1,6177,11,2.5328,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,1197,12,2.7592,0.23,100A
1027,64816,1,1197,12,2.7592,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,578,13,3.4232,0.66,100A
1028,64816,1,578,13,3.4232,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,2900,14,3.7018,0.28,100A
1029,64816,1,2900,14,3.7018,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,5132,15,3.8512,0.15,100A
1030,64816,1,5132,15,3.8512,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,4580,16,4.3213,0.47,100A
1031,64816,1,4580,16,4.3213,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,611,17,4.4219,0.1,100A
1032,64816,1,611,17,4.4219,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,937,18,4.6306,0.21,100A
1033,64816,1,937,18,4.6306,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,4497,19,5.3076,0.68,100A
1034,64816,1,4497,19,5.3076,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,1295,20,5.5015,0.19,100A
1035,64816,1,1295,20,5.5015,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,8113,21,5.6609,0.16,100A
1036,64816,1,8113,21,5.6609,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,7175,22,6.0228,0.36,100A
1037,64816,1,7175,22,6.0228,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,1988,23,6.3405,0.32,100A
1038,64816,1,1988,23,6.3405,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,4850,24,6.5334,0.19,100A
1039,64816,1,4850,24,6.5334,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,8945,25,6.7617,0.23,100A
1040,64816,1,8945,25,6.7617,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,6785,26,7.1021,0.34,100A
1041,64816,1,6785,26,7.1021,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,6901,27,7.7536,0.65,100A
1042,64816,1,6901,27,7.7536,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,7206,28,7.9423,0.19,100A
1043,64816,1,7206,28,7.9423,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,9671,29,8.1606,0.22,100A
1044,64816,1,9671,29,8.1606,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,6260,30,8.355,0.19,100A
1012,64816,1,6260,30,8.355,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,10011,31,8.5743,0.22,100A
1013,64816,1,10011,31,8.5743,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,7662,32,8.7533,0.18,100A
1014,64816,1,7662,32,8.7533,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,5540,33,8.8788,0.13,100A
1015,64816,1,5540,33,8.8788,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,9052,34,9.015,0.14,100A
1045,64816,1,9052,34,9.015,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,5598,35,9.291,0.28,100A
1046,64816,1,5598,35,9.291,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,2563,36,9.5264,0.24,100A
1047,64816,1,2563,36,9.5264,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,8368,37,9.8767,0.35,100A
1048,64816,1,8368,37,9.8767,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,9604,38,10.0045,0.13,100A
1049,64816,1,9604,38,10.0045,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,271,39,10.392,0.39,100A
1050,64816,1,271,39,10.392,NORTH - 100A FLEMINGDON PARK towards DON MILLS & WYNFORD,3,7497,40,10.7714,0.38,100A
2036,64817,0,24296,1,0.0,EAST - 101 DOWNSVIEW PARK towards SHEPPARD WEST STATION,3,3355,2,1.94,1.94,101
2037,64817,0,3355,2,1.94,EAST - 101 DOWNSVIEW PARK towards SHEPPARD WEST STATION,3,14177,3,2.6022,0.66,101
2038,64817,1,14177,1,0.0,WEST - 101 DOWNSVIEW PARK towards DOWNSVIEW PARK,3,2365,2,0.7068,0.71,101
2039,64817,1,2365,2,0.7068,WEST - 101 DOWNSVIEW PARK towards DOWNSVIEW PARK,3,538,3,0.816,0.11,101
2040,64817,1,538,3,0.816,WEST - 101 DOWNSVIEW PARK towards DOWNSVIEW PARK,3,1632,4,1.1537,0.34,101
2041,64817,1,1632,4,1.1537,WEST - 101 DOWNSVIEW PARK towards DOWNSVIEW PARK,3,3554,5,1.4579,0.3,101
2042,64817,1,3554,5,1.4579,WEST - 101 DOWNSVIEW PARK towards DOWNSVIEW PARK,3,6042,6,1.8551,0.4,101
2043,64817,1,6042,6,1.8551,WEST - 101 DOWNSVIEW PARK towards DOWNSVIEW PARK,3,9504,7,2.4178,0.56,101
2044,64817,1,9504,7,2.4178,WEST - 101 DOWNSVIEW PARK towards DOWNSVIEW PARK,3,6125,8,2.6466,0.23,101
2045,64817,1,6125,8,2.6466,WEST - 101 DOWNSVIEW PARK towards DOWNSVIEW PARK,3,12926,9,3.6125,0.97,101
2046,64817,1,12926,9,3.6125,WEST - 101 DOWNSVIEW PARK towards DOWNSVIEW PARK,3,24296,10,3.936,0.32,101
3123,64818,0,9736,1,0.057,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,14128,2,0.3252,0.27,102
3225,64818,0,15193,1,0.0,SOUTH - 102 MARKHAM RD towards WARDEN STATION - EXTRA FARE REQUIRED NORTH OF STEELES,3,15270,2,0.7313,0.73,102
3245,64818,0,9736,1,0.057,SOUTH - 102C MARKHAM RD towards WARDEN STATION via DYNAMIC DR,3,14128,2,0.3252,0.27,102C
3539,64818,0,24285,1,0.0279,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,8753,2,0.6143,0.59,102
3124,64818,0,14128,2,0.3252,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,3768,3,0.6482,0.32,102
3226,64818,0,15270,2,0.7313,SOUTH - 102 MARKHAM RD towards WARDEN STATION - EXTRA FARE REQUIRED NORTH OF STEELES,3,23915,3,0.9884,0.26,102
3246,64818,0,14128,2,0.3252,SOUTH - 102C MARKHAM RD towards WARDEN STATION via DYNAMIC DR,3,3768,3,0.6482,0.32,102C
3540,64818,0,8753,2,0.6143,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,9263,3,0.9354,0.32,102
3125,64818,0,3768,3,0.6482,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,6534,4,1.0328,0.38,102
3227,64818,0,23915,3,0.9884,SOUTH - 102 MARKHAM RD towards WARDEN STATION - EXTRA FARE REQUIRED NORTH OF STEELES,3,3173,4,1.1936,0.21,102
3247,64818,0,3768,3,0.6482,SOUTH - 102C MARKHAM RD towards WARDEN STATION via DYNAMIC DR,3,9778,4,1.1262,0.48,102C
3502,64818,0,9263,3,0.9354,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,2657,4,1.1189,0.18,102
3126,64818,0,6534,4,1.0328,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,1369,5,1.4174,0.38,102
3228,64818,0,3173,4,1.1936,SOUTH - 102 MARKHAM RD towards WARDEN STATION - EXTRA FARE REQUIRED NORTH OF STEELES,3,2767,5,1.6533,0.46,102
3294,64818,0,9778,4,1.1262,SOUTH - 102C MARKHAM RD towards WARDEN STATION via DYNAMIC DR,3,3383,5,1.2818,0.16,102C
3503,64818,0,2657,4,1.1189,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,3408,5,1.4604,0.34,102
3127,64818,0,1369,5,1.4174,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,2831,6,1.8659,0.45,102
3229,64818,0,2767,5,1.6533,SOUTH - 102 MARKHAM RD towards WARDEN STATION - EXTRA FARE REQUIRED NORTH OF STEELES,3,1131,6,1.9239,0.27,102
3295,64818,0,3383,5,1.2818,SOUTH - 102C MARKHAM RD towards WARDEN STATION via DYNAMIC DR,3,4562,6,1.5636,0.28,102C
3504,64818,0,3408,5,1.4604,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,6137,6,1.8037,0.34,102
3128,64818,0,2831,6,1.8659,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,5381,7,2.6982,0.83,102
3230,64818,0,1131,6,1.9239,SOUTH - 102 MARKHAM RD towards WARDEN STATION - EXTRA FARE REQUIRED NORTH OF STEELES,3,1251,7,2.1297,0.21,102
3296,64818,0,4562,6,1.5636,SOUTH - 102C MARKHAM RD towards WARDEN STATION via DYNAMIC DR,3,9531,7,1.7337,0.17,102C
3505,64818,0,6137,6,1.8037,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,3153,7,2.2952,0.49,102
3129,64818,0,5381,7,2.6982,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,3138,8,2.9597,0.26,102
3231,64818,0,1251,7,2.1297,SOUTH - 102 MARKHAM RD towards WARDEN STATION - EXTRA FARE REQUIRED NORTH OF STEELES,3,2803,8,2.8303,0.7,102
3297,64818,0,9531,7,1.7337,SOUTH - 102C MARKHAM RD towards WARDEN STATION via DYNAMIC DR,3,7503,8,1.9415,0.21,102C
3506,64818,0,3153,7,2.2952,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,6309,8,2.5017,0.21,102
3130,64818,0,3138,8,2.9597,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,6536,9,3.2225,0.26,102
3232,64818,0,2803,8,2.8303,SOUTH - 102 MARKHAM RD towards WARDEN STATION - EXTRA FARE REQUIRED NORTH OF STEELES,3,4265,9,3.2382,0.41,102
3298,64818,0,7503,8,1.9415,SOUTH - 102C MARKHAM RD towards WARDEN STATION via DYNAMIC DR,3,2831,9,2.4053,0.46,102C
3507,64818,0,6309,8,2.5017,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,5494,9,2.9166,0.41,102
3131,64818,0,6536,9,3.2225,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,4948,10,4.3576,1.14,102
3233,64818,0,4265,9,3.2382,SOUTH - 102 MARKHAM RD towards WARDEN STATION - EXTRA FARE REQUIRED NORTH OF STEELES,3,7470,10,3.3383,0.1,102
3248,64818,0,2831,9,2.4053,SOUTH - 102C MARKHAM RD towards WARDEN STATION via DYNAMIC DR,3,5381,10,3.2375,0.83,102C
3508,64818,0,5494,9,2.9166,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,6578,10,3.1158,0.2,102
3132,64818,0,4948,10,4.3576,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,9796,11,4.7016,0.34,102
3234,64818,0,7470,10,3.3383,SOUTH - 102 MARKHAM RD towards WARDEN STATION - EXTRA FARE REQUIRED NORTH OF STEELES,3,4567,11,3.7747,0.44,102
3249,64818,0,5381,10,3.2375,SOUTH - 102C MARKHAM RD towards WARDEN STATION via DYNAMIC DR,3,3138,11,3.499,0.26,102C
3509,64818,0,6578,10,3.1158,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,3700,11,3.3912,0.28,102
3133,64818,0,9796,11,4.7016,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,3644,12,4.9034,0.2,102
3235,64818,0,4567,11,3.7747,SOUTH - 102 MARKHAM RD towards WARDEN STATION - EXTRA FARE REQUIRED NORTH OF STEELES,3,4741,12,4.1603,0.39,102
3250,64818,0,3138,11,3.499,SOUTH - 102C MARKHAM RD towards WARDEN STATION via DYNAMIC DR,3,6536,12,3.7619,0.26,102C
3510,64818,0,3700,11,3.3912,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,5612,12,3.6231,0.23,102
3134,64818,0,3644,12,4.9034,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,2538,13,5.039,0.14,102
3236,64818,0,4741,12,4.1603,SOUTH - 102 MARKHAM RD towards WARDEN STATION - EXTRA FARE REQUIRED NORTH OF STEELES,3,5976,13,5.0139,0.85,102
3251,64818,0,6536,12,3.7619,SOUTH - 102C MARKHAM RD towards WARDEN STATION via DYNAMIC DR,3,4948,13,4.897,1.14,102C
3511,64818,0,5612,12,3.6231,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,3022,13,3.8812,0.26,102
3135,64818,0,2538,13,5.039,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,1435,14,5.4104,0.37,102
3237,64818,0,5976,13,5.0139,SOUTH - 102 MARKHAM RD towards WARDEN STATION - EXTRA FARE REQUIRED NORTH OF STEELES,3,5362,14,5.8632,0.85,102
3252,64818,0,4948,13,4.897,SOUTH - 102C MARKHAM RD towards WARDEN STATION via DYNAMIC DR,3,9796,14,5.2409,0.34,102C
3512,64818,0,3022,13,3.8812,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,5354,14,4.4482,0.57,102
3136,64818,0,1435,14,5.4104,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,9263,15,6.4102,1.0,102
3238,64818,0,5362,14,5.8632,SOUTH - 102 MARKHAM RD towards WARDEN STATION - EXTRA FARE REQUIRED NORTH OF STEELES,3,10107,15,6.1966,0.33,102
3253,64818,0,9796,14,5.2409,SOUTH - 102C MARKHAM RD towards WARDEN STATION via DYNAMIC DR,3,3644,15,5.4427,0.2,102C
3513,64818,0,5354,14,4.4482,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,3141,15,5.1023,0.65,102
3137,64818,0,9263,15,6.4102,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,2657,16,6.5938,0.18,102
3239,64818,0,10107,15,6.1966,SOUTH - 102 MARKHAM RD towards WARDEN STATION - EXTRA FARE REQUIRED NORTH OF STEELES,3,5204,16,6.4866,0.29,102
3254,64818,0,3644,15,5.4427,SOUTH - 102C MARKHAM RD towards WARDEN STATION via DYNAMIC DR,3,2538,16,5.5783,0.14,102C
3514,64818,0,3141,15,5.1023,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,6684,16,5.3136,0.21,102
3138,64818,0,2657,16,6.5938,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,3408,17,6.9353,0.34,102
3240,64818,0,5204,16,6.4866,SOUTH - 102 MARKHAM RD towards WARDEN STATION - EXTRA FARE REQUIRED NORTH OF STEELES,3,1498,17,6.738,0.25,102
3255,64818,0,2538,16,5.5783,SOUTH - 102C MARKHAM RD towards WARDEN STATION via DYNAMIC DR,3,1435,17,5.9498,0.37,102C
3515,64818,0,6684,16,5.3136,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,6266,17,5.6252,0.31,102
3139,64818,0,3408,17,6.9353,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,6137,18,7.2785,0.34,102
3241,64818,0,1498,17,6.738,SOUTH - 102 MARKHAM RD towards WARDEN STATION - EXTRA FARE REQUIRED NORTH OF STEELES,3,8060,18,7.1161,0.38,102
3256,64818,0,1435,17,5.9498,SOUTH - 102C MARKHAM RD towards WARDEN STATION via DYNAMIC DR,3,9263,18,6.9496,1.0,102C
3516,64818,0,6266,17,5.6252,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,1366,18,5.839,0.21,102
3140,64818,0,6137,18,7.2785,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,3153,19,7.77,0.49,102
3242,64818,0,8060,18,7.1161,SOUTH - 102 MARKHAM RD towards WARDEN STATION - EXTRA FARE REQUIRED NORTH OF STEELES,3,6411,19,7.519,0.4,102
3257,64818,0,9263,18,6.9496,SOUTH - 102C MARKHAM RD towards WARDEN STATION via DYNAMIC DR,3,2657,19,7.1331,0.18,102C
3517,64818,0,1366,18,5.839,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,5111,19,6.2578,0.42,102
3141,64818,0,3153,19,7.77,SOUTH - 102 MARKHAM RD towards WARDEN STATION,3,6309,20,7.9765,0.21,102
3243,64818,0,6411,19,7.519,SOUTH - 102 MARKHAM RD towards WARDEN STATION - EXTRA FARE REQUIRED NORTH OF STEELES,3,3755,20,7.9613,0.44,102
3258,64818,0,2657,19,7.1331,SOUTH - 102C MARKHAM RD towards WARDEN STATION via DYNAMIC DR,3,3408,20,7.4746,0.34,102C
